BranchCode,YearOpened,MonthOpened,QuaterOpened,LocationCluster,StoreType,edcType,StoreProvince
149,2013,5,Q2,Oasis,CJSUPERMARKET,Welfare,Kanchanaburi
150,2013,5,Q2,Oasis,CJSUPERMARKET,Welfare,Kanchanaburi
151,2013,5,Q2,Oasis,CJSUPERMARKET,Welfare,Kanchanaburi
152,2013,5,Q2,Oasis,CJSUPERMARKET,Welfare,Phetchaburi
153,2013,5,Q2,Downtown,CJSUPERMARKET,Welfare,Prachuap Khiri Khan
154,2013,6,Q2,Oasis,CJSUPERMARKET,Welfare,Suphan Buri
155,2013,6,Q2,Oasis,CJSUPERMARKET,Welfare,Prachuap Khiri Khan
156,2013,6,Q2,Downtown,CJSUPERMARKET,Welfare,Samut Sakhon
157,2013,6,Q2,CityEdge,CJSUPERMARKET,Welfare,Samut Sakhon
158,2013,6,Q2,CityEdge,CJSUPERMARKET,Welfare,Kanchanaburi
159,2013,6,Q2,Downtown,CJSUPERMARKET,Welfare,Nakhon Pathom
160,2013,7,Q3,Downtown,CJSUPERMARKET,Welfare,Samut Sakhon
161,2013,7,Q3,NearFactory,CJSUPERMARKET,Welfare,Samut Prakan
162,2013,7,Q3,City,CJSUPERMARKET,Welfare,Samut Prakan
164,2013,8,Q3,Oasis,CJSUPERMARKET,Welfare,Samut Sakhon
165,2013,8,Q3,Downtown,CJSUPERMARKET,Welfare,Rayong
166,2013,8,Q3,NearFactory,CJSUPERMARKET,Welfare,Rayong
167,2013,8,Q3,NearFactory,CJSUPERMARKET,Welfare,Samut Sakhon
168,2013,9,Q3,Oasis,CJSUPERMARKET,Welfare,Suphan Buri
169,2013,9,Q3,CityEdge,CJSUPERMARKET,Welfare,Phetchaburi
170,2013,9,Q3,NearFactory,CJSUPERMARKET,Welfare,Bangkok
171,2013,9,Q3,Suburb,CJSUPERMARKET,Welfare,Samut Sakhon
173,2013,9,Q3,Suburb,CJSUPERMARKET,Welfare,Nonthaburi
172,2013,9,Q3,Oasis,CJSUPERMARKET,Welfare,Ang Thong
174,2013,10,Q4,Suburb,CJSUPERMARKET,Welfare,Nonthaburi
175,2013,10,Q4,Suburb,CJSUPERMARKET,Welfare,Samut Sakhon
176,2013,10,Q4,CityEdge,CJSUPERMARKET,Welfare,Nakhon Pathom
177,2013,10,Q4,NearFactory,CJSUPERMARKET,Welfare,Bangkok
179,2013,10,Q4,Downtown,CJSUPERMARKET,Welfare,Samut Songkhram
180,2013,10,Q4,Suburb,CJSUPERMARKET,Welfare,Nonthaburi
178,2013,10,Q4,NearFactory,CJSUPERMARKET,Welfare,Samut Sakhon
181,2013,11,Q4,NearFactory,CJSUPERMARKET,Welfare,Bangkok
182,2013,11,Q4,Downtown,CJSUPERMARKET,Welfare,Samut Sakhon
183,2013,11,Q4,Oasis,CJSUPERMARKET,Welfare,Kanchanaburi
185,2013,11,Q4,NearFactory,CJSUPERMARKET,Welfare,Nakhon Pathom
186,2013,11,Q4,CityEdge,CJSUPERMARKET,Welfare,Kanchanaburi
187,2013,11,Q4,Oasis,CJSUPERMARKET,Welfare,Kanchanaburi
188,2013,11,Q4,NearFactory,CJSUPERMARKET,Emoney,Bangkok
184,2013,11,Q4,Oasis,CJSUPERMARKET,Welfare,Samut Songkhram
189,2013,11,Q4,NearFactory,CJSUPERMARKET,Welfare,Nakhon Pathom
190,2013,11,Q4,Oasis,CJSUPERMARKET,Welfare,Suphan Buri
192,2013,12,Q4,Suburb,CJSUPERMARKET,Welfare,Nonthaburi
191,2013,12,Q4,Downtown,CJSUPERMARKET,Welfare,Samut Sakhon
193,2013,12,Q4,CityEdge,CJSUPERMARKET,Welfare,Prachuap Khiri Khan
194,2013,12,Q4,Oasis,CJSUPERMARKET,Welfare,Suphan Buri
