ProvinceEN,ZipCode,latitude,longitude
Kamphaeng Phet,62210,16.2145,99.9415
Kanchanaburi,70190,13.954,99.851
Kanchanaburi,71000,14.00628571,99.46157143
Kanchanaburi,71110,13.93358333,99.61633333
Kanchanaburi,71120,13.88433333,99.78277778
Kanchanaburi,71130,13.983875,99.76575
Kanchanaburi,71140,14.11371429,99.68857143
Kanchanaburi,71150,14.17842857,99.02342857
Kanchanaburi,71160,14.35175,99.4615
Kanchanaburi,71170,14.3254,99.6894
Kanchanaburi,71180,14.72842857,98.68271429
Kanchanaburi,71190,14.14175,99.33225
Kanchanaburi,71210,14.60185714,99.69642857
Kanchanaburi,71220,14.6854,99.3716
Kanchanaburi,71240,15.152,98.51666667
Kanchanaburi,71250,14.5886,99.0822
Kanchanaburi,71260,13.83375,99.3695
Khon Kaen,40000,16.469125,102.8151875
Khon Kaen,40110,16.06209524,102.7409048
Khon Kaen,40120,15.81058333,102.58725
Khon Kaen,40130,16.5465,102.183375
Khon Kaen,40140,16.69633333,102.9112222
Khon Kaen,40150,16.69928571,102.4238571
Khon Kaen,40160,16.163,102.4836667
Khon Kaen,40170,16.67821429,103.0757143
Khon Kaen,40180,16.02375,102.57625
Khon Kaen,40190,15.76633333,102.7780833
Khon Kaen,40210,16.50133333,102.3861667
Khon Kaen,40220,16.7609,102.1198
Khon Kaen,40230,15.80483333,102.4086667
Khon Kaen,40240,16.474,102.54
Khon Kaen,40250,16.7835,102.6693333
Khon Kaen,40260,16.324,102.841
Khon Kaen,40270,16.47328571,102.616
Khon Kaen,40280,16.8998,102.7934
Khon Kaen,40290,16.651,102.003
Khon Kaen,40310,16.71033333,102.7786667
Khon Kaen,40320,16.2962,102.691
Khon Kaen,40330,15.933,102.4624
Khon Kaen,40340,15.88775,102.8755
Khon Kaen,40350,16.6968,101.8884
Krabi,80240,8.2325,99.2735
Krabi,81000,8.0527,98.76416667
Krabi,81110,8.3085,98.71475
Krabi,81120,7.894470588,99.17605882
Krabi,81130,7.927947368,99.01863158
Krabi,81140,8.2925,99.0765
Krabi,81150,7.509769231,99.11715385
Krabi,81160,8.54525,98.81425
Krabi,81170,7.7345,99.2065
Lampang,52000,18.37433333,99.56722222
Lampang,52100,18.3645,99.42833333
Lampang,52110,18.7662,99.9308
Lampang,52120,18.74228571,99.63357143
Lampang,52130,18.16677778,99.35544444
Lampang,52140,19.137625,99.629625
Lampang,52150,18.1057,99.549
Lampang,52160,17.614,99.25271429
Lampang,52170,17.89875,99.346
Lampang,52180,17.507,99.098
Lampang,52190,18.337,99.31342857
Lampang,52210,18.079,99.173
Lampang,52220,18.344,99.7906
Lampang,52230,17.468,99.216
Lampang,52240,18.7672,99.4858
Lamphun,51000,18.55638462,99.01838462
Lamphun,51110,17.80925,98.925
Lamphun,51120,18.45816667,98.86458333
Lamphun,51130,18.3152,98.7846
Lamphun,51140,18.4745,99.19
Lamphun,51150,18.652,99.0275
Lamphun,51160,17.98633333,99.054
Lamphun,51170,18.346,99.0035
Lamphun,51180,18.6465,99.1765
Loei,42000,17.52233333,101.7063333
Loei,42100,17.612,101.7505
